aeronautics engineer
Aerospace Engineer
Agricultural Engineer
Applied Science
Archaeologist
Assay Development Specialist
Assistant Field Technician
Assistant Technician
Associate Professor
astrobiology
Astrochemistry
Astronaut
Astronomer
astronomy
astrophysics
Bioanalytical Scientist
Biochemist
Biochemistry
Bioinformatics Research Scientist
Biological Engineer
Biologist
biology  
Biology Professor
biomechanical
Biomedical scientist
biophysics
Botanist
botany
Cell Biology Scientist
Cell Line Development Manager
Chemical Engineer
Chemical Technician
Chemist
chemistry
Climate Data Analyst
Clinical Data Research
Clinical Pharmacology Professor
Clinical Pharmacy Assistant
Clinical Research Associate
Clinical Research Coordinator
Clinical Research Director
Compliance Technician
Computational Chemistry Manager
Conservation Technician
Crystallography
Drug Evaluator
Drug Regulatory Affairs Manager
Earth Science
Ecologist
Environmental
Environmental Data Analyst
Environmental Emergencies Assistant
Environmental Emergencies Planner
Environmental Health Scientist
Environmental Project Analyst
Environmental Research Assistant
Environmental Services Representative
Environmental Specialist
Exploration Director
Field Applications Specialist
Field Technician
Financial Analyst
fluid dynamics
Food chemistry
Forensic Chemist
Forensic Scientist
Gene Editing Manager
Genetic Counselor
geochemist
Geochemistry
Geographer
Geologist
geology 
geophysicist
Government scientist
Groundwater Technician
Health Research Assistant
Health Technology Assistant
Healthcare science
heliophysics
Herpetologist
Hospital Research Assistant
hydrology
Immunology Scientist
Inorganic
lab technician
Laboratory Assistant
Laboratory Instructor
Laboratory Manager
Laboratory Technician
Life Science
lunar
Materials science
Medical Communications Director
Medical laboratory scientist
Medical Physics Researcher
Medical Research Assistant
Medical Research Technician
Medical Scientist
Medical Services Assistant
meteorologist 
Microbiologist
micropaleontologist
Molecular Biologist
Molecular physics
Molecular Scientist
Natural Science
Naturalist
Neuroscientist
Nuclear
Oceanographer
oceanography
Oncology Researcher
optomitrist 
paleoclimatology
paleoecology
Paleontologist
Pathologist
Petroleum geologist
petrophysicist
Pharmaceutical Assistant
Pharmaceutical Research Analyst
Pharmaceutical Research Assistant
Pharmaceutical Research Technician
Pharmaceutical Technician
Pharmacovigilance Supervisor
Pharmacy Assistant
Photochemistry
Physical
Physical Scientist
Physicist
physics
planetary geology
playnology
propulsion engineer
Psychologist
Public Health Specialist
radiobiology
Radiochemistry
Research and Development Associate
Research and Development Chemist
Research and Development Director
Research and Development Manager
Research and Development Supervisor
Research and Development Technician
Research and Development Tester
Research and Innovation Manager
Research Assistant
Research Chemist
Research Fellow
Research Scientist
Research Team Leader
Research Technician
Researcher
reservoir engineer
Satellite Data Analyst
Science teacher
Science Technician
Scientific Artist
Scientific Programmer
Scientific Project Manager
Scientific Writer
Scientist
Senior Pharmacy Student
social science
Solid-state
space engineer
Space science
STEM Career Advisor
Stem Cell Researcher
Stereochemistry
Structural Biologist
subsea engineer
Supramolecular
Surface science
telemetry
Theoretical
Toxicologist
volcanology
wind power
zoo
Zoologist
zoology 
