zip,type,primary_city,latitude,longitude,irs_estimated_population_2014
75153,STANDARD,Powell,32.16,-96.33,610
75154,STANDARD,Red Oak,32.51,-96.8,37570
75155,STANDARD,Rice,32.24,-96.5,2510
75156,STANDARD,Mabank,32.25,-96.08,11130
75157,PO BOX,Rosser,32.46,-96.44,369
75158,STANDARD,Scurry,32.47,-96.41,4250
75159,STANDARD,Seagoville,32.65,-96.54,15970
75160,STANDARD,Terrell,32.73,-96.29,22350
75161,STANDARD,Terrell,32.74,-96.17,5480
75163,STANDARD,Trinidad,32.14,-96.09,1870
75164,PO BOX,Josephine,33.07,-96.31,633
75165,STANDARD,Waxahachie,32.4,-96.85,37800
75166,STANDARD,Lavon,33.02,-96.43,4260
75167,STANDARD,Waxahachie,32.36,-96.92,8510
75168,PO BOX,Waxahachie,32.4,-96.85,1145
75169,STANDARD,Wills Point,32.7,-96,12390
75172,STANDARD,Wilmer,32.59,-96.68,4080
75173,STANDARD,Nevada,33.03,-96.37,4630
75180,STANDARD,Balch Springs,32.72,-96.62,23110
75181,STANDARD,Mesquite,32.73,-96.56,25760
75182,STANDARD,Sunnyvale,32.79,-96.55,6380
75185,PO BOX,Mesquite,32.76,-96.59,1449
75187,PO BOX,Mesquite,32.76,-96.59,714
75189,STANDARD,Royse City,32.97,-96.33,25040
75201,STANDARD,Dallas,32.79,-96.8,10340
75202,STANDARD,Dallas,32.78,-96.8,2120
75203,STANDARD,Dallas,32.75,-96.8,13610
75204,STANDARD,Dallas,32.8,-96.79,24620
75205,STANDARD,Dallas,32.84,-96.8,18900
75206,STANDARD,Dallas,32.83,-96.77,30030
75207,STANDARD,Dallas,32.79,-96.82,2130
75208,STANDARD,Dallas,32.75,-96.84,29360
75209,STANDARD,Dallas,32.85,-96.83,13190
75210,STANDARD,Dallas,32.77,-96.75,6030
75211,STANDARD,Dallas,32.74,-96.91,71000
75212,STANDARD,Dallas,32.78,-96.88,24200
75214,STANDARD,Dallas,32.83,-96.75,31680
75215,STANDARD,Dallas,32.75,-96.76,13150
75216,STANDARD,Dallas,32.71,-96.78,45670
75217,STANDARD,Dallas,32.71,-96.68,81980
75218,STANDARD,Dallas,32.84,-96.7,21490
75219,STANDARD,Dallas,32.81,-96.81,22420
75220,STANDARD,Dallas,32.87,-96.88,39220
75221,PO BOX,Dallas,32.79,-96.76,281
75222,PO BOX,Dallas,32.79,-96.76,1265
75223,STANDARD,Dallas,32.79,-96.76,13500
75224,STANDARD,Dallas,32.71,-96.84,31390
75225,STANDARD,Dallas,32.86,-96.79,21690
75226,STANDARD,Dallas,32.78,-96.78,2620
75227,STANDARD,Dallas,32.77,-96.69,55030
75228,STANDARD,Dallas,32.82,-96.68,63990
75229,STANDARD,Dallas,32.89,-96.86,33420
75230,STANDARD,Dallas,32.9,-96.79,25360
75231,STANDARD,Dallas,32.87,-96.75,34440
75232,STANDARD,Dallas,32.66,-96.84,27800
75233,STANDARD,Dallas,32.7,-96.87,13600
75234,STANDARD,Dallas,32.92,-96.89,29920
75235,STANDARD,Dallas,32.83,-96.85,16360
75236,STANDARD,Dallas,32.68,-96.94,15900
75237,STANDARD,Dallas,32.67,-96.87,15530
75238,STANDARD,Dallas,32.88,-96.71,29700
75240,STANDARD,Dallas,32.93,-96.79,24230
75241,STANDARD,Dallas,32.67,-96.76,26570
75242,STANDARD,Dallas,32.79,-96.76,20
75243,STANDARD,Dallas,32.91,-96.74,56300
75244,STANDARD,Dallas,32.93,-96.84,12070
75245,STANDARD,Dallas,32.82,-96.83,66
75246,STANDARD,Dallas,32.79,-96.77,1960
75247,STANDARD,Dallas,32.81,-96.88,890
75248,STANDARD,Dallas,32.97,-96.8,33270
75249,STANDARD,Dallas,32.64,-96.96,14670
75250,PO BOX,Dallas,32.79,-96.76,164
75251,STANDARD,Dallas,32.92,-96.77,2300
75252,STANDARD,Dallas,33,-96.79,21910
75253,STANDARD,Dallas,32.67,-96.61,19020
75254,STANDARD,Dallas,32.94,-96.8,22700
75258,STANDARD,Dallas,32.8,-96.88,0
75260,STANDARD,Dallas,32.79,-96.76,0
75261,PO BOX,Dallas,32.79,-96.76,550
75262,PO BOX,Dallas,32.79,-96.76,0
75263,PO BOX,Dallas,32.79,-96.76,0
75264,PO BOX,Dallas,32.79,-96.76,0
75265,PO BOX,Dallas,32.79,-96.76,57
75266,PO BOX,Dallas,32.79,-96.76,45
75267,PO BOX,Dallas,32.79,-96.76,0
75270,STANDARD,Dallas,32.78,-96.8,42
75275,UNIQUE,Dallas,32.79,-96.76,192
75277,UNIQUE,Dallas,32.79,-96.76,19
75283,UNIQUE,Dallas,32.79,-96.76,246
75284,UNIQUE,Dallas,32.79,-96.76,21
75285,UNIQUE,Dallas,32.79,-96.76,0
75286,UNIQUE,Dallas,32.78,-96.8,20
75287,STANDARD,Dallas,33,-96.84,48340
75301,UNIQUE,Dallas,32.79,-96.76,0
75303,UNIQUE,Dallas,32.79,-96.76,0
75310,UNIQUE,Dallas,32.78,-96.8,0
75312,UNIQUE,Dallas,32.79,-96.76,0
75313,PO BOX,Dallas,32.79,-96.76,289
75315,PO BOX,Dallas,32.79,-96.76,652
75320,UNIQUE,Dallas,32.79,-96.76,0
75323,UNIQUE,Dallas,32.96,-96.8,33
75326,UNIQUE,Dallas,32.79,-96.76,0
75334,PO BOX,Dallas,32.67,-96.61,0
75336,PO BOX,Dallas,32.79,-96.76,401
75339,PO BOX,Dallas,32.79,-96.76,537
75340,PO BOX,Dallas,32.76,-96.86,0
75342,STANDARD,Dallas,32.79,-96.76,100
75343,PO BOX,Dallas,32.76,-96.86,0
75344,PO BOX,Dallas,32.78,-96.79,0
75353,UNIQUE,Dallas,32.78,-96.8,0
75354,PO BOX,Dallas,32.79,-96.76,971
75355,PO BOX,Dallas,32.79,-96.76,579
75356,PO BOX,Dallas,32.79,-96.76,283
75357,PO BOX,Dallas,32.79,-96.76,713
75358,UNIQUE,Dallas,32.94,-96.87,0
75359,PO BOX,Dallas,32.79,-96.76,105
75360,PO BOX,Dallas,32.79,-96.76,778
75363,UNIQUE,Dallas,32.93,-96.79,0
75364,UNIQUE,Dallas,32.78,-96.8,0
75367,PO BOX,Dallas,32.79,-96.76,396
75368,UNIQUE,Dallas,32.79,-96.76,0
75370,PO BOX,Dallas,32.79,-96.76,1105
75371,PO BOX,Dallas,32.79,-96.76,185
75372,PO BOX,Dallas,32.79,-96.76,592
75373,UNIQUE,Dallas,32.79,-96.76,0
75374,PO BOX,Dallas,32.79,-96.76,1146
75376,PO BOX,Dallas,32.79,-96.76,838
75378,PO BOX,Dallas,32.79,-96.76,33
75379,PO BOX,Dallas,32.79,-96.76,771
75380,PO BOX,Dallas,32.79,-96.76,745
75381,PO BOX,Dallas,32.79,-96.76,510
75382,PO BOX,Dallas,32.79,-96.76,1041
75386,UNIQUE,Dallas,32.78,-96.87,0
75387,UNIQUE,Dallas,32.78,-96.8,0
75388,UNIQUE,Dallas,32.78,-96.8,0
75389,UNIQUE,Dallas,32.79,-96.76,0
75390,UNIQUE,Dallas,32.81,-96.84,15
75391,UNIQUE,Dallas,32.79,-96.76,0
75392,UNIQUE,Dallas,32.79,-96.76,0
75393,UNIQUE,Dallas,32.79,-96.76,0
75394,UNIQUE,Dallas,32.79,-96.76,0
75395,UNIQUE,Dallas,32.79,-96.76,0
75396,UNIQUE,Dallas,32.78,-96.8,0
75397,UNIQUE,Dallas,32.79,-96.76,0
75398,STANDARD,Dallas,32.79,-96.76,0
75401,STANDARD,Greenville,33.19,-96.11,15880
75402,STANDARD,Greenville,33.11,-96.1,14870
75403,PO BOX,Greenville,33.11,-96.1,961
75404,PO BOX,Greenville,33.11,-96.1,745
75407,STANDARD,Princeton,33.18,-96.5,15500
75409,STANDARD,Anna,33.35,-96.54,14220
75410,STANDARD,Alba,32.79,-95.63,3800
75411,STANDARD,Arthur City,33.86,-95.65,830
75412,STANDARD,Bagwell,33.82,-95.14,550
75413,PO BOX,Bailey,33.44,-96.18,312
75414,STANDARD,Bells,33.62,-96.41,2810
75415,STANDARD,Ben Franklin,33.47,-95.77,157
75416,STANDARD,Blossom,33.66,-95.38,2690
75417,STANDARD,Bogata,33.46,-95.21,1990
75418,STANDARD,Bonham,33.58,-96.18,9770
75420,STANDARD,Brashear,33.11,-95.72,990
75421,STANDARD,Brookston,33.66,-95.73,920
75422,STANDARD,Campbell,33.14,-95.95,2470
75423,STANDARD,Celeste,33.29,-96.19,2390
75424,STANDARD,Blue Ridge,33.29,-96.39,3170
